,worker_id,hist
0,A1MIBEGF81ZLUS,6
1,A1X1IRFYQZ40LD,1
2,A1ZGQC0J00M69W,169
3,A2OW2CIT4H7364,138
4,A1AR5OZLXIF9,5
5,A2UF2FRGVW4T89,125
6,A1RUURPQJ14A8X,110
7,A31A4YKVSOYRVS,27
8,AA21VG9GOHM54,7
9,A2M5VW97GIYLHB,51
10,AOBTFLJU2BEPR,85
11,A3LN9BVLOWLYER,32
12,ARYYSG1HT2UDX,330
13,AJQGWGESKQT4Y,9
14,A3GS6QRW0NDZV9,25
15,A1PC5HFTBIR2QA,3
16,A3KA3A3M7LPMPA,40
17,A3S8TUZ94SKSDC,6
18,A2HR7ZIX42FEPG,73
19,A37CE37LHUN8M6,78
20,A3GUJ6JD25FX7O,70
21,A2S09R2TB55WBN,10
22,A2HTN7HCNBQ8V4,38
23,A15XX0WDRG29E7,32
24,A3542PB4Z0NE80,36
25,A3RS7UCO7CQ74R,164
26,A3P57IUDHUKNCE,91
27,A1EBVJWBNNPUFU,11
28,A1BW8BW8LB6ZPC,6
29,A2RCYLKY072XXO,2
30,A19TL7AJ0FB1JG,1
31,A3B2YRXL26RPVH,1
32,A3I9XLIHPPWPN1,10
33,A10LLZZHZVGWRW,4
34,A3KM6AF7CGASHJ,26
35,A8E99XNOTT390,2
36,A1FGKIKJYSL1MI,52
37,A2PJBSDDN22XIX,4
38,A2YKW761AK4ZGY,35
39,A33B85TN97HQ33,66
40,A4W9APAHFWVLO,1
41,A1AF5TUSLXSQD1,8
42,A1EWWETFXX1U51,1
43,A2CLSASUR08Z0O,53
44,A20I3A6VWC2T5C,211
45,AP4903X7HCNBA,64
46,A34QZDSTKZ3JO9,7
47,AXY0D2AMLKE2A,1
48,A390TAQDSFEBN9,8
49,A3VVR8NR3ED04C,37
50,A1TPCNI0K1EVYD,43
51,AYJGQBBK6KXZ7,26
52,A2CMYWI1J292YJ,9
53,A249LDVPG27XCE,1
54,A3MA1SVP12F3DO,20
55,APGX2WZ59OWDN,12
56,A2I6ZS386UJVJE,9
57,A3LKIY5BCZ2RS8,4
58,A2KYOM2ZGYDJGT,27
59,AHGM882UX7S4T,21
60,A1QR6I7UPY8XQJ,7
61,A3JT22BLG866CK,17
62,A31CNXHGR49DJR,8
63,AF4SO6NQC84U4,2
64,A2NGY0LAM66P0N,4
65,A1B14CS9DW7008,1
66,A24IF41IP6LT55,3
67,A2GNG7DWHQA6ZZ,5
68,A3GQ3N00IBM717,5
69,A1DSBBRZR3LWXP,1
70,A2P791EA88YGSV,13
71,AD8FN7L0ZV67G,3
72,A1IL81UMEC9OJI,6
73,A1AZV2XOQK7RSW,4
74,A277V4SHQB8JRS,2
75,AEHONA1BIY9JB,2
76,A2DK5ME7UK8GYG,4
77,A1PF01FF85HUY4,4
78,AIQT0DPRTXYYD,11
79,ANMD34DNHLOLC,16
80,A314XJY8V1YL12,3
81,A1KBL9THQ1AGAR,6
82,AMX5R6NLYNA2K,3
83,A2DC6TG86OSCRK,7
84,A2ZRF4I5RTKN7G,3
85,A31FD3QCYZ28Q2,15
86,A3HII8DX9SINOU,2
87,A3GNQDFPZALU92,7
88,AUGRDUEDEUXUS,1
89,A2O762LZEZN3JC,5
90,A3T6Q7YJQXYZ2Z,1
91,AMCJQTBCGX9R5,2
92,AZBZBTTME3HAI,1
93,A1QSN98P7DOIPR,1
94,A2U31V169A20GY,4
95,A31YZ8JR422KFR,2
96,A1E235KE3CSO7H,2
97,AY6HFCSWZJ9WD,3
98,AI4AO0O0WIJF7,4
99,A2WTNZHRALOHX8,1
100,AYJGJAIY0EXW,3
101,A3J2UG22S8BIW4,2
102,A34488HCARTJ82,1
103,A34RGSBBFQ6HI1,2
104,A7NZ814Q5MX2R,3
105,A1IXH2QLUU5BKZ,5
106,A3O4WYGKH31OX,3
107,A27FBMV6E4YO3T,1
108,A3GCA0EZKHTJME,2
109,A3H0TLQC53H5MB,4
110,AP37QQ9AABSY9,2
111,AVHZJ2HQJG3NB,5
112,A8HSPSD88CUTS,2
113,A2ZHBGPYUOFTZG,4
114,A249M2F9FFNIK2,1
115,A2BOXK0KVXGKPU,1
116,A3HHDPKL3O3O7Y,1
117,AY9ZVK32I1P1L,1
118,A1SKAGZXTWZW9D,10
119,A1NGXQMOBCXDC3,2
120,A2LFVJ28A2J2PK,1
121,A1FLEFIVFT809G,2
122,A3CR9XJAL7U5JW,3
123,A2TZAXWOB3JMNV,7
124,AQACH1UKXRRIX,2
125,A3D46S3V9SYXTT,2
126,A12O9P1OTMJOPW,5
127,A3IR7DFEKLLLO,1
128,ACAJFF4MF5S5X,4
129,A132MSWBBVTOES,1
130,ADAKTHXLJRCI7,1
131,A31J3022SQPIMW,6
132,A4CPMNA135GK4,2
133,A3RCNWIPHVUNRZ,1
134,A5E2P5F1AXYZ1,1
135,A70L26UXLTGLC,2
136,A3PFPDN0VFINL1,1
137,A13OAZH7U7HFF4,3
138,A36PRTZFECB76C,1
139,A3MZE4FJ658B79,1
140,A96CZ20YAZKZ8,4
141,A1CVM8I2566ILI,1
142,AHKOZVL0KZKAB,2
143,AHI4R9YE0SF9E,1
144,ATQD23E8ESFSI,2
145,ANUG05IDFTWF,5
146,ARR3UJTM2ZGK4,2
147,A3AY0315YWWNXY,1
148,A3GVIO0THJXK51,1
149,A13SO6PY3RRKAE,1
150,AYT6G75JNE3OH,1
151,A37WDOIQH6JM6V,2
152,A3R19ZA45J8915,1
153,A1LRJ4U04532TM,1
154,A22A52DRIIEV6K,3
155,A1FBBY2JJYRMRI,2
156,A1HE3WGI7WSOO8,1
157,A21LB6V5RQTMIS,1
158,A1Y25W1Y7KDE5,2
159,A2FNQQTVE32XD9,2
160,A3AJR1PM02424Y,1
161,A39SK1E6IMQBD5,1
162,A1OUSVNEED63KR,1
163,A3CFNUD7VR2E1E,3
164,AIU30D5BNNCWH,2
165,A2TKHXY755FAM,1
166,A2F9V69F6TZIAB,1
167,AE861G0AY5RGT,1
168,A33UMG50QSJ7KS,2
169,A2CF2BD4Q0ZDJN,1
170,A33UQADFRXM0N,1
171,A1GOT0DXTYCM4E,1
172,A31SFPOJ21LTUS,1
173,A4T50ODN6SGNR,1
174,A2VE5IV9OD2SK1,1
175,A3FFZN4FO3Q789,1
176,A17AF42SNQNH9C,1
177,A2WNW8A4MOR7T7,1
178,AEX85SLEN727,1
179,A371H3PQPR2Z8J,1
180,A3P9YDDTO87QGZ,1
181,AL18PX0MPLANX,1
182,A1S624VSVI32QZ,1
183,A6SSA0N5J3ENM,1
184,A3ONQGH25UTI53,1
185,A3CWEN6Y21V7TL,1
186,AO3FI6Z8E1HWD,1
